Comentario,Relacion_Video,Emocion,Emocion_Dominante
Mentedrogada 2,No,Asco,Neutro
"0:38 
""Ya sabían que este día iba a llegar 💀💀""",Sí,Sorpresa,Neutro
"Riley y sus emociones ❌️
Riley y sus adicciones ✅️",No,Asco,Neutro
"2:16 lit desagrado  es la mejor en ""cosplay""",Sí,Sorpresa,Neutro
El recuerdo mas qlero de riley:,No,Sorpresa,Neutro
Lo mejor de este video son Ansiedad y Desagrado,Sí,Asco,Neutro
"9:12 Las emociones cantando ""Lamento Boliviano"" de Enanitos Verdes",Sí,Sorpresa,Neutro
Lo que muchos temíamos se hizo realidad ☠️,Sí,Ira,Neutro
los oidos de los vecinos: estoy cansado jefe😭🙏🙏,Sí,Tristeza,Neutro
El tristeza cuando Riley toma antidepresivos 🗿,Sí,Tristeza,Neutro
Mas que alegria parece marge simpson crecida en plantas nuclear,Sí,Sorpresa,Neutro
Pretexto para sacar a relucir su JOTERÍA la mema aponta jajaajajajajj,No,Alegría,Neutro
"Intensamente ❌

Mi perturbada mente ✅",Sí,Ira,Neutro
Nueva emoción desbloqueada: trauma☠️☠️☠️,Sí,Asco,Neutro
"Sobreexplotación de enanitos, literalmente willie Wonka🗿🍷",No,Asco,Neutro
"2:05"" tengo hemorroides""!",No,Asco,Neutro
ESTE VIDEO ME DIO MUCHA ANSIEDAD,Sí,Miedo,Neutro
2:19  desagrado tiene toda la razon en los disfrases,Sí,Ira,Neutro
Sabes lo mejor me dio mucha gracia cuando tristeza se cae,Sí,Alegría,Neutro
"3:52 ""me encanta tu pelona"" JAJAJAJA 💀",Sí,Alegría,Neutro
Son las emociones de un cricoso,Sí,Ira,Neutro
Intensamenteesquizofrénica 2,Sí,Alegría,Neutro
Intensamente Perú 2,Sí,Neutro,Neutro
Intesamente mexicano,Sí,Sorpresa,Neutro
Esa es la mente de memo🤣🤣🤣🤣😂,Sí,Alegría,Neutro
Cada vez está,Sí,Sorpresa,Neutro
​ @EhidanJesúsTéllezgonsalez2024  TOY TRITE 🗣️🗣️🔥🔥🔥,Sí,Ira,Neutro
*Intensamentedrogada 2,Sí,Asco,Neutro
​@Marsal7887 sólo en cines 🥶👌,No,Sorpresa,Neutro
